wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740v 161 ROOT
47511v 0
47610v 314
47745v 73
47945v 208
48633v 5
48790v 0
48912v 0
49007v 0
49102v 1
49197v 0
49309v 0
49483v 0
49669v 0
49770v 0
49900v 15
50315v 0
50454v 8
50652v 145
51060v 0
51170v 1
51370v 2
51511v 5
51637v 0
51761v 1
51942v 0
52043v 11
52253v 1
52374v 144 ROOT
52548v 7
52845v 0
53035v 1
53159v 3
53341v 3
53517v 0
53656v 0
53889v 0
54059v 0
54285v 17
54535v 0
54628v 171
55010v 1
55142v 92
55539v 2
55709v 0
55871v 1
56093v 0
56188v 7
56334v 29
56589v 0
56683v 5
56829v 0
56930v 205
57410v 1 ROOT
57506v 5
57665v 0
57764v 4
57895v 0
58014v 0
58135v 0
58265v 0
58401v 0
58516v 1
58645v 0
58794v 1
58897v 0
59019v 50
59376v 3
59559v 0 ROOT
59769v 5
59899v 5
60063v 1
60185v 40
60477v 3
60701v 1
60833v 4
61079v 0
61219v 0
61401v 0
61595v 11
61933v 0
62067v 0
62203v 4
62397v 0
62582v 0
62774v 0
62973v 0
63095v 34
63291v 16
63557v 2
63724v 24
63916v 10
64095v 43
64487v 0
64643v 799
64889v 922
65070v 34
65370v 2
65495v 0
65639v 57
66025v 21
66191v 902
66685v 33
66862v 5
66977v 29
67129v 8
67274v 0
67545v 11
67850v 0
67999v 36
68467v 1
68627v 3
68740v 0
68858v 0
69012v 3
69166v 0
69295v 21
69570v 0
69747v 0
69879v 767
70439v 16
70633v 0
70736v 0
70816v 24
71037v 0
71178v 113
71547v 2
71646v 0
71803v 0
72012v 29
72586v 11
72730v 1
72897v 1
72989v 326
73343v 40
73584v 0
73813v 30
74038v 3
74453v 0
74558v 4
74730v 0
74834v 8
75021v 119
75421v 44
75708v 0
75875v 0
75998v 0
76114v 66
76400v 161
77071v 9
77369v 0 ROOT
77458v 0 ROOT
77606v 0
77698v 1
77950v 0
78138v 10
78316v 0
78401v 11
